gene_name	Ensemble_id
TSPAN6	ENSG00000000003
DPM1	ENSG00000000419
GCLC	ENSG00000001084
NFYA	ENSG00000001167
LAS1L	ENSG00000001497
ANKIB1	ENSG00000001629
CYP51A1	ENSG00000001630
KRIT1	ENSG00000001631
RAD52	ENSG00000002016
BAD	ENSG00000002330
LAP3	ENSG00000002549
MAD1L1	ENSG00000002822
LASP1	ENSG00000002834
SNX11	ENSG00000002919
M6PR	ENSG00000003056
KLHL13	ENSG00000003096
ICA1	ENSG00000003147
ALS2	ENSG00000003393
CFLAR	ENSG00000003402
NDUFAF7	ENSG00000003509
RBM5	ENSG00000003756
ARF5	ENSG00000004059
POLDIP2	ENSG00000004142
AK2	ENSG00000004455
FKBP4	ENSG00000004478
RBM6	ENSG00000004534
RECQL	ENSG00000004700
CCDC132	ENSG00000004766
ARHGAP33	ENSG00000004777
NDUFAB1	ENSG00000004779
SLC25A13	ENSG00000004864
ST7	ENSG00000004866
CDC27	ENSG00000004897
HCCS	ENSG00000004961
DVL2	ENSG00000004975
SLC25A5	ENSG00000005022
POLR2J	ENSG00000005075
THSD7A	ENSG00000005108
LIG3	ENSG00000005156
RPAP3	ENSG00000005175
CIAPIN1	ENSG00000005194
SPPL2B	ENSG00000005206
MSL3	ENSG00000005302
CREBBP	ENSG00000005339
BZRAP1	ENSG00000005379
GCFC2	ENSG00000005436
WDR54	ENSG00000005448
CROT	ENSG00000005469
MLL5	ENSG00000005483
RHBDD2	ENSG00000005486
SOX8	ENSG00000005513
IBTK	ENSG00000005700
ZNF195	ENSG00000005801
PDK2	ENSG00000005882
ZFX	ENSG00000005889
LAMP2	ENSG00000005893
GDE1	ENSG00000006007
C19orf60	ENSG00000006015
OSBPL7	ENSG00000006025
TMEM98	ENSG00000006042
ABCC8	ENSG00000006071
TMEM132A	ENSG00000006118
AP2B1	ENSG00000006125
ZNF263	ENSG00000006194
CX3CL1	ENSG00000006210
SPATA20	ENSG00000006282
RALA	ENSG00000006451
ETV1	ENSG00000006468
AGK	ENSG00000006530
PHTF2	ENSG00000006576
FARP2	ENSG00000006607
GGCT	ENSG00000006625
DBF4	ENSG00000006634
IFRD1	ENSG00000006652
COX10	ENSG00000006695
GTF2IRD1	ENSG00000006704
PAF1	ENSG00000006712
VPS41	ENSG00000006715
ELAC2	ENSG00000006744
CDKL3	ENSG00000006837
CCDC124	ENSG00000007080
PAFAH1B1	ENSG00000007168
KIAA0100	ENSG00000007202
TRAPPC6A	ENSG00000007255
ST7L	ENSG00000007341
RPUSD1	ENSG00000007376
LUC7L	ENSG00000007392
TSR3	ENSG00000007520
PIGQ	ENSG00000007541
DNAJC11	ENSG00000007923
PSMB1	ENSG00000008018
ADAM22	ENSG00000008277
SYPL1	ENSG00000008282
SPAG9	ENSG00000008294
CELSR3	ENSG00000008300
AASS	ENSG00000008311
SS18L2	ENSG00000008324
CRY1	ENSG00000008405
NFIX	ENSG00000008441
PKD1	ENSG00000008710
MED24	ENSG00000008838
HEATR5B	ENSG00000008869
SEC62	ENSG00000008952
RPS20	ENSG00000008988
CSDE1	ENSG00000009307
REV3L	ENSG00000009413
FAM76A	ENSG00000009780
POMT2	ENSG00000009830
VTA1	ENSG00000009844
BAZ1B	ENSG00000009954
SPRTN	ENSG00000010072
METTL13	ENSG00000010165
DYRK4	ENSG00000010219
ZNF207	ENSG00000010244
UQCRC1	ENSG00000010256
STARD3NL	ENSG00000010270
CD9	ENSG00000010278
IFFO1	ENSG00000010295
NISCH	ENSG00000010322
FUZ	ENSG00000010361
IDS	ENSG00000010404
SCMH1	ENSG00000010803
FYN	ENSG00000010810
TCEB3	ENSG00000011007
LYPLA2	ENSG00000011009
CLCN6	ENSG00000011021
NME1-NME2	ENSG00000011052
APBA3	ENSG00000011132
MKS1	ENSG00000011143
ABHD5	ENSG00000011198
AKAP8L	ENSG00000011243
UTP18	ENSG00000011260
RNF216	ENSG00000011275
TTC19	ENSG00000011295
PTBP1	ENSG00000011304
LARS2	ENSG00000011376
PIK3C2A	ENSG00000011405
ANLN	ENSG00000011426
RABGAP1	ENSG00000011454
QPCTL	ENSG00000011478
PPP5C	ENSG00000011485
CEP68	ENSG00000011523
GABRA3	ENSG00000011677
ERCC1	ENSG00000012061
SEMA3B	ENSG00000012171
MBTPS2	ENSG00000012174
EXTL3	ENSG00000012232
ELOVL5	ENSG00000012660
KDM5D	ENSG00000012817
CALCOCO1	ENSG00000012822
UBR7	ENSG00000012963
MAP4K5	ENSG00000012983
EHD3	ENSG00000013016
PSMC4	ENSG00000013275
MAN2B2	ENSG00000013288
